"simID","p","dhat"
2508,0.83,0.168461538461538
2509,0.83,0.167692307692308
2510,0.83,0.167051282051282
2511,0.83,0.166282051282051
2512,0.83,0.160384615384615
2513,0.83,0.167820512820513
2514,0.83,0.158205128205128
2515,0.83,0.164230769230769
2516,0.83,0.160897435897436
2517,0.83,0.165512820512821
2518,0.83,0.165
2519,0.83,0.173717948717949
2520,0.83,0.162820512820513
2521,0.83,0.162435897435897
2522,0.83,0.170512820512821
2523,0.83,0.166025641025641
2524,0.83,0.166538461538462
2525,0.83,0.161153846153846
2526,0.83,0.171410256410256
2527,0.83,0.167051282051282
2528,0.83,0.165897435897436
2529,0.83,0.16025641025641
2530,0.83,0.168333333333333
2531,0.83,0.163076923076923
2532,0.83,0.163076923076923
2533,0.83,0.175769230769231
2534,0.83,0.167820512820513
2535,0.83,0.161794871794872
2536,0.83,0.171282051282051
2537,0.83,0.158846153846154
2538,0.83,0.162692307692308
2539,0.83,0.166025641025641
2540,0.83,0.167820512820513
2541,0.83,0.162564102564103
2542,0.83,0.162179487179487
2543,0.83,0.170384615384615
2544,0.83,0.163461538461538
2545,0.83,0.170897435897436
2546,0.83,0.167692307692308
2547,0.83,0.168076923076923
2548,0.83,0.167820512820513
2549,0.83,0.167564102564103
2550,0.83,0.167435897435897
2551,0.83,0.16974358974359
2552,0.83,0.169102564102564
2553,0.83,0.172692307692308
